ZIP,TotalPopulation,MedianHHIncome,PCIncome,MedianAge,Race_White,Race_Black,Race_American_Indian,Race_Asian,Race_Pacific_Islander,Race_Other,Ethnicity_Hispanic,Citizens
2215,25619,55468,29056,21.6,18020,1440,268,6246,61,995,2908,19798
4101,17252,46309,37467,34.3,13867,2737,326,607,0,326,1035,13560
10001,22924,96787,91461,36.7,14957,1687,271,6048,24,713,3246,17411
30301,23693,101106,100364,37.5,20607,2179,148,1158,8,181,1112,18656
73301,28558,77560,46177,29.8,12739,2661,649,556,7,12884,21761,14958
75001,15000,72050,47613,32.1,9231,2301,802,1828,69,1998,3623,10987
90001,58975,48011,14814,29.1,22737,5483,750,173,24,30491,53085,24069
94016,29689,119370,59110,36.2,17005,1898,267,10134,237,1929,3322,22260
97035,26014,103299,58616,44.3,22921,459,478,3070,186,285,1529,19587
98101,12792,91550,86176,38.6,9322,954,304,2569,97,236,609,10432
